,,Hokuriku,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Hokuriku
4/11/22,7:00,0,2054,1425,0,78,393,2,0,0,0,-691,0,0,3261,11.45
4/11/22,8:00,0,2135,1602,0,77,211,2,0,3,0,-804,0,0,3226,18.11
4/11/22,9:00,0,2119,1691,0,76,93,1,0,70,0,-932,0,0,3117,22.86
4/11/22,10:00,0,2117,1746,0,76,7,1,0,69,0,-882,0,0,3135,31.84
4/11/22,11:00,0,2117,1709,0,77,1,0,0,61,0,-920,0,0,3044,24.36
4/11/22,12:00,0,2117,1584,0,76,0,3,0,0,0,-853,0,0,2927,24.11
4/11/22,13:00,0,2122,1476,0,78,0,8,0,0,0,-860,0,0,2824,20.11
4/11/22,14:00,0,2116,1406,0,77,0,14,0,0,0,-824,0,0,2789,18.54
4/11/22,15:00,0,2002,1434,0,79,0,17,0,0,0,-802,0,0,2730,13.45
4/11/22,16:00,0,1852,1389,0,77,0,23,0,0,0,-710,0,0,2631,12.64
4/11/22,17:00,0,1983,1549,0,77,0,21,0,0,0,-911,0,0,2718,16.02
4/11/22,18:00,0,2102,1678,0,77,0,22,0,0,0,-943,0,0,2937,16.76
4/11/22,19:00,0,2111,1684,0,78,0,37,0,0,0,-829,0,0,3081,15.26
4/11/22,20:00,0,2112,1682,0,77,0,47,0,0,0,-814,0,0,3105,14.1
4/11/22,21:00,0,2111,1683,0,76,11,52,0,0,0,-889,0,0,3045,16.78
4/11/22,22:00,0,1941,1670,0,77,130,43,0,0,0,-906,0,0,2954,13.2
4/11/22,23:00,0,1790,1476,0,77,352,28,0,0,0,-837,0,0,2886,7.38
4/12/22,0:00,0,1773,1397,0,77,612,22,0,0,0,-770,0,0,3110,5.8
4/12/22,1:00,0,1672,1372,0,76,806,21,0,0,0,-650,0,0,3297,0.51
4/12/22,2:00,0,1520,1361,0,80,944,23,0,0,0,-550,0,0,3377,0.01
4/12/22,3:00,0,1601,1352,0,81,1001,23,0,0,0,-635,0,0,3423,0.01
4/12/22,4:00,0,1755,1375,0,81,995,16,-120,0,0,-850,0,0,3252,0.01
4/12/22,5:00,0,1869,1403,0,79,914,20,-122,0,0,-768,0,0,3395,0.01
4/12/22,6:00,0,1835,1433,0,81,773,20,0,0,0,-748,0,0,3394,4.62
